source_id,citation,source_type,population,n,field_date,intervention,control,outcome_wording_scale,effect_estimate,uncertainty,moderator_results,relevance,limitations,estimate_status,url
VLASCEANU2024_BEHAVIOR,"Vlasceanu et al. (2024), Science Advances",global megastudy,"63 countries",59440,"data collection 2022-2023","11 text interventions","common no-intervention control","effortful tree-planting task, up to 8 pages","no intervention increased tree planting; several reduced it",,"effects differed by initial belief","strong null/negative prior for behavioral endpoints","task-specific behavior and global sample","published qualitative result","https://doi.org/10.1126/sciadv.adj5778"
GEIGER2024_CONSENSUS,"Geiger et al. (2024), Nature Human Behaviour",preregistered experiment,"online convenience samples in 27 countries",10527,"2023","97% human-caused climate consensus message","unrelated-media-topic control","perceived consensus 0-100; climate reality/human-cause belief; worry; public-action support","d=0.47 consensus perception; d=0.06 reality belief; d=0.10 human-cause belief; d=0.05 worry; d=0.02 public action","consensus [0.41,0.52]; reality [0.01,0.12]; cause [0.04,0.15]; worry [-0.01,0.10]; action [-0.03,0.08]","larger updating with low familiarity/misperception; right-leaning and low-trust groups did not backfire and often updated more","direct prior for Consensus condition; proximal effects dominate distal policy","convenience and highly educated sample; estimate-and-reveal design; not exact benchmark wording","published estimate","https://doi.org/10.1038/s41562-024-01928-2"
ORCHINIK2024_HISTORY,"Orchinik et al. (2024), PNAS Nexus",national survey experiment,"nationally representative U.S. sample",2545,"published 2024-10-31","longstanding history/foundations of climate science","no-message control","human-caused climate belief and scientist skill/bias, each 0-100 across consensus levels","history increased climate belief 2.36 points and proconsensus-scientist skill 2.08 points","belief 95% credible interval [0.37,4.37]; skill [0.01,4.18]",,"direct prior for institutional history, modeling/methods, and scientist-credibility messages","outcomes repeatedly evaluated at hypothetical consensus levels; no behavioral endpoints","published estimate","https://doi.org/10.1093/pnasnexus/pgae485"
ORCHINIK2024_INSTITUTIONS,"Orchinik et al. (2024), PNAS Nexus",national survey experiment,"nationally representative U.S. sample",2545,"published 2024-10-31","institutional constraints on bias in climate science","no-message control","scientist skill/bias 0-100","proconsensus-scientist skill +1.94 points","95% credible interval [-0.18,3.89]",,"prior for peer review, funding, institutions, and methods conditions","no filler control; little effect on perceived bias","published estimate","https://doi.org/10.1093/pnasnexus/pgae485"
THOMASWALTERS2026_ATTRIBUTION,"Thomas-Walters et al. (2026), Global Environmental Psychology",preregistered experiment,"quota samples in U.S., U.K., and India",9000,"2024-2025","short flood/heat attribution messages with 3x or 200% framing","cheetah filler pure control and extreme-weather active control","belief weather made more likely/worse, standardized; worry; government action; link click","main d=0.06 to 0.14; 4.5-6.1 pp top-category increase; U.S. best flood-percent d=0.18","main active-control [0.03,0.10]; best treatments [0.10,0.18]; U.S. flood-percent [0.12,0.24]","no event-type or number-frame difference; U.S. and U.K. effects larger than India","direct prior for state-tailored Extreme weather predictions","target uses different states/weather and trust outcomes; adjusted for premeasure","published estimate","https://doi.org/10.5964/gep.15931"
THOMASWALTERS2026_DISTAL,"Thomas-Walters et al. (2026), Global Environmental Psychology",preregistered experiment,"quota samples in U.S., U.K., and India",9000,"2024-2025","short flood/heat attribution messages","cheetah filler pure control","worry; government-action index; information-link click","worry largest d=0.06; government action d=0.03 for two heat messages and null in U.S./India; link click 3.2% overall","worry [0.02,0.10]; action [0.01,0.06]",,"shrinks transport from attribution belief to benchmark concern/policy/behavior","cross-country pooled secondary outcomes; link not newsletter","published estimate","https://doi.org/10.5964/gep.15931"
VOELKEL2026,"Voelkel et al. (2026), Nature Climate Change",registered-report megastudy,"U.S. national nonprobability sample matched on key demographics",13544,"2024","10 most-cited climate message strategies","pooled neckties/baseball/dances controls","belief, concern, general/specific policy, political/nonpolitical intentions, donation, all 0-100","six messages changed multiple attitudes by 1-4 pp; no message increased donation",,"persuasiveness varied little across party lines; targeted-message heterogeneity largely unsupported","closest external design: U.S., same filler mixture, short messages, multiple benchmark-like outcomes","pre/post measures and some covariate-adjusted primary analyses; model cutoff leakage risk for retrospective LLM validation","published estimate","https://doi.org/10.1038/s41558-025-02536-2"
GOLDWERT2026_BASELINE,"Goldwert et al. (2026), PNAS Nexus",megastudy baseline,"quota-matched U.S. residents",31324,"published 2026-01-27","17 climate advocacy interventions","no-intervention control n=1739","binary newsletter, donation and other advocacy actions","control: newsletter 22%, donation 49%, representative letter 41%, petition 19%, video share 16%",,,"baseline anchors for signup and donation; demonstrates wording-specific levels","advocacy newsletters and donation choices differ materially from benchmark offer/AMS allocation","published estimate","https://doi.org/10.1093/pnasnexus/pgaf400"
GOLDWERT2026_EFFECT,"Goldwert et al. (2026), PNAS Nexus",megastudy,"quota-matched U.S. residents",31324,"published 2026-01-27","collective efficacy plus emotional benefit","no-intervention control","public and political advocacy composites 0-1","public advocacy +0.10; political advocacy +0.06","public 95% CI [0.08,0.12]; political [0.04,0.08]",,"upper-end evidence for strong efficacy/emotion combinations; not a generic text prior","composites mix binary and intention measures; winner selected among many conditions","published estimate","https://doi.org/10.1093/pnasnexus/pgaf400"
SABHERWAL2026,"Sabherwal et al. (2026), PsyArXiv",post-cutoff preregistered megastudy,"quota-matched U.S. adults",8488,"OSF posted 2026-06-28","12 single/ensemble carbon-fee messages","informed control describing policy goals, benefits and $20 monthly cost","carbon-fee support 0-100; consequential $0-$10 donation","best 3-module ensemble +20.10 policy points and +$1.31 donation; single efficacy +13.86 and +$0.61","best policy SE 1.72; donation SE 0.19","weighted results similar; no detected order effects","post-model-cutoff evaluation and evidence that coherent ensembles can outperform components","multi-module dosage and informed costly-policy control unlike benchmark; source study is a preprint","published estimate","https://osf.io/preprints/psyarxiv/8j7n2_v1"
NISA2019,"Nisa et al. (2019), Nature Communications",behavioral meta-analysis,"randomized field trials; mostly U.S./Canada and Europe",3092678,"studies through 2018","behavioral climate interventions","no-intervention controls","observed household/individual mitigation behavior","d=-0.093 in coding where negative is improvement; probability of benefit 6.6%","95% CI [-0.160,-0.055]; follow-up d=-0.13 [-0.42,0.28]","small-study/self-selection patterns; no durable effect","strong caution against translating attitudes into actual behavior","longer field interventions and behavior definitions differ from a one-shot survey intention","published estimate","https://doi.org/10.1038/s41467-019-12457-2"
AMAZEEN2025,"Amazeen et al. (2025), npj Climate Action",online experiment,"U.S. adults",1045,"2024","Exxon native advertisement; disclosure; UN-source inoculation","restaurant-review social post and ad without inoculation","agreement with energy/climate claims, 1-7","misleading investment claim means 4.43 no inoculation, 4.21 inoculation, 3.87 control; inoculation versus no inoculation p=0.043","group test F(3,1148)=3.01, p=0.029","inoculation reduced but sometimes did not eliminate misleading belief; no reduction in true climate belief","direct evidence for oil-industry misinformation/inoculation condition","focuses brand/claim belief rather than trust composite; condition Ns and larger parent analysis differ","published estimate","https://doi.org/10.1038/s44168-025-00209-6"
HAUSFATHER2020,"Hausfather et al. (2020), Geophysical Research Letters",retrospective model evaluation,"17 projections from models published 1970-2007",17,"observations through 2017","historical climate-model projections","subsequent observed temperatures/forcings","global mean surface-temperature trends","10 of 17 projections consistent with observations on raw temperature; 14 of 17 consistent after accounting for forcing mismatches",,,"factual basis for Model accuracy condition","this is evidence content, not a randomized communication effect","published calculation","https://doi.org/10.1029/2019GL085378"
GOLDBERG2021,"Goldberg et al. (2021), Nature Climate Change",field experiment,"Republicans in Missouri-02 and Georgia-07",1600,"one-month campaign in 2020","online videos with Republican-resonant messengers/values","geographic randomized advertising control","existence, causes, harms, risk, issue importance","campaign increased climate understanding by several percentage points",,"effects targeted Republicans in two competitive districts","evidence for Former skeptics and conservative messenger interviews","video campaign/repeated exposure, localized field setting, not a one-shot national text","published qualitative estimate","https://doi.org/10.1038/s41558-021-01070-1"
ANDRE2024_NORMS,"Andre et al. (2024/2026), Review of Economics and Statistics",preregistered survey experiment,"broadly representative U.S. adults",8000,"March-April 2021","correct actual climate-friendly behavior or norm prevalence",control,"donation/willingness index; policy support; political action","behavior-information treatment policy support +0.09 SD; norm-information +0.07 SD",,"effects strongest among climate skeptics; prior underestimation conditions response","evidence for high-public-trust/social-norm-type information and possible skeptical subgroup effects","different norm content and outcomes; first wave informed treatment values","published estimate","https://doi.org/10.1162/rest_a_01468"
ORVE2022,"Orve et al. (2022), Environmental Communication",within-subject experiment,"online participants",810,"published 2022-12","categorical versus instrumental scientist value judgments crossed with policy congruence","within-person comparison","perceived trustworthiness of climate scientist","no transportable ATE extracted; policy congruence influenced evaluations",,"respondent-policy congruence is central","qualitative prior for Social justice and policy-role/trust effects","within-subject design and no directly portable numerical effect","qualitative implication","https://doi.org/10.1080/17524032.2022.2153896"
CCAM2026,"Leiserowitz et al. (2026), Climate Change in the American Mind",current national baseline survey,"nationally representative U.S. adults",1068,"2026-04-17 to 2026-04-26","none; observational baseline",,"happening, human cause, worry and engagement categorical items","68% happening; 59% mostly human-caused; 66% at least somewhat worried; 29% very worried; 65% personally important","average MOE about +/-3 pp","large known partisan/ideological gradients in the series","current baseline anchor only, with wording/scale crosswalk required","not experimental and questions are not identical to benchmark sliders","published estimate","https://climatecommunication.yale.edu/publications/climate-change-in-the-american-mind-beliefs-attitudes-spring-2026/"
PEW2024,"Kennedy & Tyson (2024), Pew Research Center",current national baseline survey,"U.S. American Trends Panel",9593,"2024-10-21 to 2024-10-27","none; observational baseline",,"climate-policy/economy items","34% say climate policies usually help the economy and 34% say hurt","weighted probability sample","Republicans: 56% hurt; Democrats: 52% help","baseline/heterogeneity anchor for policy outcomes","not same item wording or 0-100 scale","published estimate","https://www.pewresearch.org/science/2024/12/09/how-americans-view-climate-change-and-policies-to-address-the-issue/"
ANNENBERG2024,"Annenberg Science and Public Health Knowledge Monitor (2024)",national baseline survey,"U.S. adults",1555,"2024","none; observational baseline",,"trust in groups, categorical","65% expressed trust in climate scientists","MOE +/-3.4 pp",,"baseline anchor for climate-scientist trust","not identical multidimensional or 0-100 wording","published estimate","https://www.annenbergpublicpolicycenter.org/asaph-report-summer-2024/"
NSB2024,"National Science Board, Science & Engineering Indicators 2024",evidence synthesis,"U.S. public-opinion surveys",,"published 2024-02","none; observational synthesis",,"science benefit/trust/knowledge indicators","public trust in science remains high; cites 54% wanting climate scientists to have a larger policy role and 18% saying they understand solutions very well",,"knowledge/familiarity positively associated with trust","baseline for policy-role and general institutional trust only","aggregates source surveys; item wording differs","published estimate","https://ncses.nsf.gov/pubs/nsb20244"
