condition,outcome,outcome_distance,source_ids,evidence_strength,qualitative_direction_only,transport_notes,target_effect_present
Social justice,trust_multidimensional,proximal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;ASHOKKUMAR2026_MEGA,low,uncertain; null and negative allowed,"moral and justice framing evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,trust_post,proximal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;ASHOKKUMAR2026_MEGA,low,uncertain; null and negative allowed,"moral and justice framing evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,distrust_post,proximal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;ASHOKKUMAR2026_MEGA,low,"usually nonpositive, but backfire/null allowed","moral and justice framing evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,funding_perceptions,proximal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;ASHOKKUMAR2026_MEGA,low,uncertain; null and negative allowed,"moral and justice framing evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,policy_role_mean,intermediate,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"moral and justice framing evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,inst_trust_mean,intermediate,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"moral and justice framing evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,belief_post,intermediate,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"moral and justice framing evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,concern_mean,intermediate,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"moral and justice framing evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,policy_general,distal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;VLASCEANU2024_POLICY;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"moral and justice framing evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,policy_specific_mean,distal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;VLASCEANU2024_POLICY;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"moral and justice framing evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,behavior_mean,distal,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;VLASCEANU2024_POLICY;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"moral and justice framing evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,donation_ams,behavioral,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"moral and justice framing evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Social justice,newsletter_signup,behavioral,VLASCEANU2024_BELIEF;RODE2021;VOELKEL2026;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"moral and justice framing evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,trust_multidimensional,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,trust_post,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,distrust_post,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","scientist credibility and explanatory-message evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,funding_perceptions,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,policy_role_mean,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,inst_trust_mean,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,belief_post,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,concern_mean,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,policy_general,distal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,policy_specific_mean,distal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,behavior_mean,distal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,donation_ams,behavioral,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientist credibility and explanatory-message evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Maraun,newsletter_signup,behavioral,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientist credibility and explanatory-message evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,trust_multidimensional,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,trust_post,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,distrust_post,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","institutional incentives and scientist-trust evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,funding_perceptions,proximal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,policy_role_mean,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,inst_trust_mean,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,belief_post,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,concern_mean,intermediate,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,policy_general,distal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,policy_specific_mean,distal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,behavior_mean,distal,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"institutional incentives and scientist-trust evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,donation_ams,behavioral,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"institutional incentives and scientist-trust evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Funding,newsletter_signup,behavioral,ORCHINIK2024_INSTITUTIONS;ANNENBERG2024;NSB2024;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"institutional incentives and scientist-trust evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,trust_multidimensional,proximal,AMAZEEN2025;GOLDBERG2021;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,trust_post,proximal,AMAZEEN2025;GOLDBERG2021;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,distrust_post,proximal,AMAZEEN2025;GOLDBERG2021;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,"usually nonpositive, but backfire/null allowed","misinformation correction and inoculation evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,funding_perceptions,proximal,AMAZEEN2025;GOLDBERG2021;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,policy_role_mean,intermediate,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,inst_trust_mean,intermediate,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,belief_post,intermediate,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,concern_mean,intermediate,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,policy_general,distal,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,policy_specific_mean,distal,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,behavior_mean,distal,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"misinformation correction and inoculation evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,donation_ams,behavioral,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"misinformation correction and inoculation evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Oil industry misinformation,newsletter_signup,behavioral,AMAZEEN2025;GOLDBERG2021;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"misinformation correction and inoculation evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),trust_multidimensional,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),trust_post,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),distrust_post,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","climate-method and credibility evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),funding_perceptions,proximal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;ASHOKKUMAR2026_MEGA;RODE2021;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),policy_role_mean,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),inst_trust_mean,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),belief_post,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),concern_mean,intermediate,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"climate-method and credibility evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),policy_general,distal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"climate-method and credibility evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),policy_specific_mean,distal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"climate-method and credibility evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),behavior_mean,distal,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"climate-method and credibility evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),donation_ams,behavioral,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"climate-method and credibility evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Measurement & modeling (1),newsletter_signup,behavioral,ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;HAUSFATHER2020;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"climate-method and credibility evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,trust_multidimensional,proximal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,trust_post,proximal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,distrust_post,proximal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","conservative messenger and persuasion evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,funding_perceptions,proximal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,policy_role_mean,intermediate,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,inst_trust_mean,intermediate,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,belief_post,intermediate,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,concern_mean,intermediate,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,policy_general,distal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Former skeptics,policy_specific_mean,distal,GOLDBERG2021;RODE2021;VLASCEANU2024_BELIEF;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"conservative messenger and persuasion evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
